╧ О/О;ьРПХУ-ЙНД ОЮПРХХ;мЮХЛЕМНБЮМХЕ РНБЮПЮ;оНЯРЮБЫХЙ;дЮРЮ ОПХУНДМНЦН ДНЙСЛЕМРЮ;мНЛЕП ОПХУНДМНЦН ДНЙСЛЕМРЮ;дЮРЮ МЮЙКЮДМНИ;мНЛЕП МЮЙКЮДМНИ;йНК-БН;яСЛЛЮ Б ГЮЙСОНВМШУ ЖЕМЮУ АЕГ мдя;яРЮБЙЮ мдя ОНЯРЮБЫХЙЮ;яСЛЛЮ мдя;яСЛЛЮ Б ГЮЙСОНВМШУ ЖЕМЮУ Я мдя
19;200200060465;йнялнонп е онбъгйю 15ялу6ял ╧25 о/ноеп. яюлнйк. яреп. [COSMOPOR];гДПЮБЯЕПБХЯ;27.05.2021;2002109;27.05.2021;E11680533/35381517;0.4;146.42;10%;14.64;161.06
20;200200075762;дхжхмнм 250лц. ╧100 рюа. /кей/;оПНРЕЙ;06.09.2021;2003514;06.09.2021;164953076-002;0.4;122.90;10%;12.29;135.20
21;200801651643;йнялнонп онбъгйю 10ялу8ял ╧25 о/ноеп. яюлнйк. яепеапн [COSMOPOR];гДПЮБЯЕПБХЯ;26.05.2020;9000595.8;26.05.2020;E8423510/28726391;0.4;337.37;10%;33.74;371.10
22;200900002147;опнткняхм 0,4лц. ╧100 йюоя. йхь/пюярб. опнкнмц. /пнрремднпт/аепкхм-тюплю/;цпюмд йюохрюк ялнкемяй ннн тй;20.08.2020;9000481;20.08.2020;20-0-204407;0.4;339.70;10%;33.97;373.68
23;200200076052;деплюцпхо уюи пхяй оепвюрйх ялнрп. м/яреп. п.M ╧50 (25оюп);оПНРЕЙ;07.09.2021;2003535;07.09.2021;165055219-002;0.44;438.84;10%;43.89;482.73
24;200200076113;уюпрлюмм апюмнкхмд H онбъгйю яреп. 10у20ял. ╧30 оепсюм.аюкэгюл /юпр.4923462/ [BRANOLIND];гДПЮБЯЕПБХЯ;07.09.2021;2003538;07.09.2021;E12676930/37466998;0.5;977.13;10%;97.72;1074.84
25;200200076171;яхмцскъп 4лц. ╧28 рюа.феб.;оСКЭЯ ;08.09.2021;2003546;07.09.2021;апм00642475;0.5;700.26;10%;70.03;770.28
26;200801115338;лхкдпнмюр 100лц/лк. 5лк. ╧10 п-п д/б/б юло.;юБЕЯРЮ ;19.10.2018;9001187.8;19.10.2018;1533126;0.5;150.56;10%;15.06;165.61
27;200801245306;бхбю опегепбюрхб д/сгх ╧100 [VIVA];оПНРЕЙ;18.03.2019;2000428.8;18.03.2019;105788062-001;0.52;331.99;10%;33.20;365.20
28;200200072105;рпюгнцпют 760лц/лк. 20лк. ╧5 п-п д/хм. юло. /чмхй/;йЮРПЕМ Ц.уХЛЙХ;11.08.2021;2003148;10.08.2021;6904225-30;0.6;286.73;10%;28.67;315.41
29;200200070470;ятл оепвюрйх ялнрп. м/яреп. кюр. п.S ╧100 (50оюп) [SFM];оПНРЕЙ;28.07.2021;2002960;28.07.2021;162029147-001;0.64;416.70;10%;41.67;458.37
30;200200077993;уюпрлюмм йнялнонп е онбъгйю 10ялу6ял ╧25 о/ноеп. яюлнйк. яреп. [HARTMANN COSMOPOR];гДПЮБЯЕПБХЯ;16.09.2021;2003688;16.09.2021;E12773621/37681689;0.68;186.66;10%;18.67;205.33
31;200900010211;йнялнонп е онбъгйю 15ялу6ял ╧25 о/ноеп. яюлнйк. яреп. [COSMOPOR];цпюмд йюохрюк ялнкемяй ннн тй;26.03.2021;9000420;26.03.2021;21-0-192605;0.72;319.68;10%;31.97;351.65
32;200200075831;юпрпюднк 100лц. ╧20 кхнт. д/п-пю д/б/л юло.;йЮРПЕМ Ц.уХЛЙХ;07.09.2021;2003525;06.09.2021;7692363-30;0.75;842.55;10%;84.26;926.81
33;200200076188;пецхдпнм 18,9ц. ╧20 онп.днг. /нпхнм/;юБЕЯРЮ ;08.09.2021;2003548;08.09.2021;л2685325;0.75;272.82;10%;27.29;300.11
34;200200079177;лхйпнкюйя 5лк. ╧4 п-п д/пейр. ббед. лхйпнйкхглю;йЮРПЕМ Ц.уХЛЙХ;23.09.2021;2003785;22.09.2021;8251622-30;0.75;228.81;10%;22.88;251.69
35;200900007988;ятл оепвюрйх ялнрп. цнксаше м/яреп. мхрпхк п.л(7-8) ╧50 (25оюп) [SFM];оПНРЕЙ;03.02.2021;9000177;03.02.2021;148596515-001;0.76;608.00;10%;60.80;668.80
36;200200066917;рхнцюллю 1,2% 50лк. ╧10 п-п д/хмт. тк. /бепбюц/;гДПЮБЯЕПБХЯ;05.07.2021;2002631;05.07.2021;E12069712/36158354;0.8;1271.20;10%;127.12;1398.32
37;200200078971;юйрнбецхм 40лц/лк. 2лк. ╧25 п-п д/хм. юло.;оСКЭЯ ;21.09.2021;2003759;21.09.2021;апм00678479;0.8;1168.16;10%;116.82;1284.98
38;200200078994;репюткч щйярпю нр цпхоою х опнярсдш ╧10 онп. оюй. кхлнм;оПНРЕЙ;21.09.2021;2003760;21.09.2021;166239513-001;0.8;312.11;10%;31.21;343.32
39;200200075023;цкчйнгю 5% 200лк. ╧28 п-п д/хмт. аср. /лнятюпл/;йЮРПЕМ Ц.уХЛЙХ;01.09.2021;2003446;01.09.2021;7509834-30;0.8214285;466.16;10%;46.62;512.78
40;200200064020;уюпрлюмм йнялнонп е онбъгйю 15ялу6ял ╧25 о/ноеп. яюлнйк. яреп. [HARTMANN COSMOPOR];гДПЮБЯЕПБХЯ;17.06.2021;2002385;17.06.2021;E11889824/35778773;0.88;351.89;10%;35.19;387.08
41;200801558576;лнвеопхелмхй деряйхи д/люкэвхйнб 100лк. ╧100 яреп.;оПНРЕЙ;21.02.2020;9000320.8;21.02.2020;125014868-002;0.88;423.32;10%;42.34;465.66
42;200200072215;щбхрюкхъ гюйбюяйю 300лц. ╧10 тк.;оСКЭЯ ;12.08.2021;2003161;11.08.2021;апм00576722;0.9;364.30;20%;72.86;437.17
43;200200078869;дхнйяхдхм 10лц/лк. 10лк. ╧10 п-п д/б/онк. х мюпсф.опхл. юло.;йЮРПЕМ Ц.уХЛЙХ;21.09.2021;2003752;20.09.2021;8185312-30;0.9;535.64;10%;53.57;589.21
44;200200080429;уюпрлюмм йнялнонп е онбъгйю 10ялу8ял ╧25 о/ноеп. яюлнйк. яреп. [HARTMANN COSMOPOR];оПНРЕЙ;29.09.2021;2003894;29.09.2021;167023329-002;0.92;344.40;10%;34.44;378.85
45;200900007487;ятл оепвюрйх ялнрп. м/яреп. кюр. HIGH RISK яб/опнвмше п.M(7-8) ╧50 (25оюп) [SFM];оПНРЕЙ;25.01.2021;9000116;25.01.2021;147875578-001;0.96;840.00;10%;84.00;924.00
46;200100304989;пекюйяюм люрепмхрх йнкцнрйх д/аепел. 70DEN п.4 аеф. C21;юКЭЪМЯ-пСЯ;09.12.2013;2002305.1;09.12.2013;яв-2530192/00;1;568.90;10%;56.89;625.79
47;200200002893;дчпейя опегепбюрхб ELITE ╧3 [DUREX];"ннн ""юЙЖЕМРЛЕД""";30.06.2020;2000589;30.06.2020;бл0211975;1;119.50;10%;11.95;131.45
48;200200003223;бекедю люякн аепегнбне ю/жеккчкхр. 100лк. [WELEDA];йЮРПЕМ Ц.уХЛЙХ;02.07.2020;2000611;01.07.2020;5586522-30;1;874.66;20%;174.93;1049.59
49;200200004022;вюяш оеянвмше 3 лхм.;оПНРЕЙ;07.07.2020;2000660;07.07.2020;133432887-003;1;108.97;20%;21.79;130.76
50;200200005641;щттепюкцюм 80лц. ╧12 ясоо. пейр. /апхярнк-люиепя/сояю/;йЮРПЕМ Ц.уХЛЙХ;18.07.2020;2000774;17.07.2020;6040445-30;1;70.01;10%;7.00;77.01
51;200200010464;пнгюпр 40лц. ╧30 рюа. о/о/н;йЮРПЕМ Ц.уХЛЙХ;18.08.2020;2001056;18.08.2020;6892746-30;1;938.63;10%;93.86;1032.49
52;200200011325;яскэяем тнпре ьюлосмэ 2% йернйнмюгнк 250лк.;йЮРПЕМ Ц.уХЛЙХ;24.08.2020;2001101;23.08.2020;7045293-30;1;194.75;20%;38.95;233.70
53;200200013858;щсрхпнйя 137лйц. ╧100 рюа. /лепй/;йЮРПЕМ Ц.уХЛЙХ;09.09.2020;2001254;08.09.2020;7487684-30;1;131.14;10%;13.11;144.25
54;200200014453;кнцеяр ╧21 дпюфе;оСКЭЯ ;14.09.2020;2001294;13.09.2020;апм00330019;1;636.26;10%;63.63;699.89
55;200200014977;бепньохпнм 100лц. ╧30 йюоя. /цеденм пхуреп/;оСКЭЯ ;16.09.2020;2001321;15.09.2020;апм00333998;1;226.45;10%;22.64;249.09
56;200200016269;пегнкнп 1лц. ╧28 рюа. о/н;йЮРПЕМ Ц.уХЛЙХ;23.09.2020;2001407;22.09.2020;7866336-30;1;1288.89;10%;128.89;1417.78
57;200200017002;щярпнйюд 0,5лц. ╧10 ясоо. бюц.;йЮРПЕМ Ц.уХЛЙХ;28.09.2020;2001456;27.09.2020;7999109-30;1;497.14;10%;49.71;546.85
58;200200017161;йнмрейя опегепбюрхб IMPERIAL окнрмннак. ╧12 [CONTEX];"ннн ""юЙЖЕМРЛЕД""";29.09.2020;2001468;29.09.2020;бл0330830;1;303.85;10%;30.38;334.23
59;200200017825;цпнопхмняхм 500лц. ╧50 рюа.;"ннн ""юЙЖЕМРЛЕД""";02.10.2020;2001517;02.10.2020;бл0336706;1;1152.72;10%;115.27;1267.99
60;200200018229;опноютемнм 150лц. ╧40 рюа. о/н /юкйюкнхд/;йЮРПЕМ Ц.уХЛЙХ;05.10.2020;2001535;04.10.2020;8194573-30;1;229.55;10%;22.96;252.51
61;200200018354;юйпхдепл цемрю 30ц. ╧1 люгэ д/мюпсф.опхл. рсаю /юйпхухм/;оПНРЕЙ;05.10.2020;2001544;05.10.2020;139309075-002;1;296.34;10%;29.63;325.97
62;200200019287;охкнрхлнк 5лк. цк.йюокх тк./йюо. /яхмрег/;оПНТХРлЕД;10.10.2020;2001619;10.10.2020;26065/536-20;1;123.22;10%;12.32;135.54
63;200200019459;кюлнкео 100лц. ╧30 рюа. /цеденм пхуреп/;цпюмд йюохрюк ялнкемяй ннн тй;12.10.2020;2001631;12.10.2020;20-0-278175;1;1172.60;10%;117.26;1289.86
64;200200019644;охйюлхкнм 10% 2лк. ╧10 п-п д/б/б,б/л юло.;оПНРЕЙ;12.10.2020;2001635;12.10.2020;139838713-001;1;105.15;10%;10.52;115.67
65;200200020102;цемтепнм кюир 250000ле+5лц. ╧10 ясоо. пейр./бюцхм.;оСКЭЯ ;15.10.2020;2001678;14.10.2020;апм00384111;1;357.38;10%;35.74;393.12
66;200200020252;теапнтхд 2,5% 50ц. цекэ;йЮРПЕМ Ц.уХЛЙХ;15.10.2020;2001687;14.10.2020;8496205-30;1;345.91;10%;34.59;380.50
67;200200020388;ахкнахк 40лц. ╧60 йюоя. /KRKA/;йЮРПЕМ Ц.уХЛЙХ;16.10.2020;2001700;16.10.2020;8533503-30;1;602.99;10%;60.30;663.29
68;200200020623;пеярюяхя 0,05% 0,4лк ╧30 тк. цк.йюокх;йЮРПЕМ Ц.уХЛЙХ;17.10.2020;2001709;16.10.2020;8560563-30;1;3578.54;10%;357.85;3936.39
69;200200020960;цхмнтнпр 2% 5ц. йпел бюц. юоок. /цеденм пхуреп/;оПНРЕЙ;19.10.2020;2001728;19.10.2020;140383934-003;1;542.46;10%;54.25;596.71
70;200200021067;яохпхбю 18лйц. ╧30 йюоя. д/хмц. +хмцюкърнп /аепхмцеп/;оСКЭЯ ;20.10.2020;2001742;19.10.2020;апм00393006;1;2231.86;10%;223.19;2455.05
71;200200021545;кнцеяр ╧21у3(63) дпюфе;оСКЭЯ ;22.10.2020;2001776;21.10.2020;апм00397973;1;1587.32;10%;158.73;1746.05
72;200200022033;цемтепнм кюир 250000ле+5лц. ╧10 ясоо. пейр./бюцхм.;оСКЭЯ ;26.10.2020;2001825;25.10.2020;апм00405384;1;359.93;10%;35.99;395.92
73;200200022307;яхмепцхм 400лц. ╧60 йюоя.;йЮРПЕМ Ц.уХЛЙХ;27.10.2020;2001842;26.10.2020;8848424-30;1;505.28;20%;101.06;606.34
74;200200022332;йбемрхюйя 200лц. ╧60 рюа. о/о/н /KRKA/;оСКЭЯ ;27.10.2020;2001843;26.10.2020;апм00407964;1;2101.40;10%;210.14;2311.54
75;200200022515;яхюкхя 5лц. ╧28 рюа. о/о/н;йЮРПЕМ Ц.уХЛЙХ;27.10.2020;2001850;27.10.2020;8857801-30;1;5585.90;10%;558.59;6144.49
76;200200025574;бепрхцнуекэ 30лк. йюокх;юБЕЯРЮ ;11.11.2020;2002050;11.11.2020;2138140;1;611.22;10%;61.12;672.34
77;200200026968;йспмняхйх окюрнвйх дер. ╧10 /юпр.40046/;йЮРПЕМ Ц.уХЛЙХ;17.11.2020;2002140;17.11.2020;9557558-30;1;5.36;20%;1.07;6.43
78;200200027327;911-цекэ-аюкэгюл д/ясярюбнб вюцю 100лк.;йЮРПЕМ Ц.уХЛЙХ;19.11.2020;2002188;18.11.2020;9616767-30;1;56.69;20%;11.34;68.03
79;200200027334;кхонаеиг аеах щлскэяхъ д/рекю 200лк.;йЮРПЕМ Ц.уХЛЙХ;19.11.2020;2002188;18.11.2020;9616767-30;1;271.76;20%;54.35;326.11
80;200200027892;юкгеохк 5лц. ╧28 рюа. о/н;йЮРПЕМ Ц.уХЛЙХ;25.11.2020;2002250;24.11.2020;9827127-30;1;1740.52;10%;174.05;1914.57
81;200200028833;аюдюмю йнпмебхыю 1,5ц. ╧20 оюй. /йпюямнцнпяй/;юБЕЯРЮ ;01.12.2020;2002340;01.12.2020;2389359;1;59.65;10%;5.97;65.62
82;200200029033;мнбюпхмц йнкэжн бюц. ╧3;оПНРЕЙ;02.12.2020;2002367;02.12.2020;143950111-001;1;3036.68;10%;303.67;3340.35
83;200200029099;тнрхк тнпре 40лц+5лц/лк. 5лк. цк.йюокх тк./йюо.;оПНРЕЙ;02.12.2020;2002372;02.12.2020;144033594-001;1;263.65;10%;26.37;290.02
84;200200029262;янмюоюйя 25лц. ╧60 рюа. о/н /бюкеюмр/;оПНРЕЙ;03.12.2020;2002389;03.12.2020;144141507-003;1;367.16;10%;36.72;403.88
85;200200029802;пнрнлнйя 400лц. ╧5 рюа. о/о/н /пнсрей/пнгкейя/;мНПЛЮМ;08.12.2020;2002451;07.12.2020;603391;1;522.94;10%;52.29;575.23
86;200200030270;скэрно 20лц. ╧28 йюоя. йь/пюярб. акхяр. /KRKA/;оСКЭЯ ;10.12.2020;2002494;09.12.2020;апм00516202;1;252.74;10%;25.27;278.01
87;200200031120;ахянопнкнк юкйюкнхд 10лц. ╧30 рюа. о/о/н /юкйюкнхд/;оСКЭЯ ;12.12.2020;2002549;11.12.2020;апм00523435;1;125.51;10%;12.55;138.06
88;200200031398;днооекэцепж юйрхб йхмдеп бхрюлхмш д/цкюг дер. кеям.ъцндш ╧60 рюа.феб.;йЮРПЕМ Ц.уХЛЙХ;14.12.2020;2002571;13.12.2020;10476551-30;1;453.59;20%;90.72;544.31
89;200200031461;яхюкхя 20лц. ╧4 рюа. о/о/н;оПНРЕЙ;14.12.2020;2002580;14.12.2020;145015198-002;1;3282.13;10%;328.21;3610.34
90;200200031964;днооекэцепж юйрхб йхмдеп бхрюлхмш д/цкюг дер. кеям.ъцндш ╧60 рюа.феб.;йЮРПЕМ Ц.уХЛЙХ;16.12.2020;2002622;15.12.2020;10560111-30;1;442.08;20%;88.42;530.50
91;200200032151;щйбюлеп 5лц.+10лц.+10лц. ╧30 йюоя. /цеденм пхуреп/;оСКЭЯ ;17.12.2020;2002638;16.12.2020;апм00535916;1;742.23;10%;74.22;816.45
92;200200032203;юмбхлюйя ╧24 кхлнм+лед онп. д/п-пю оюй.;цпюмд йюохрюк ялнкемяй ннн тй;17.12.2020;2002644;17.12.2020;20-0-429888;1;506.91;10%;50.69;557.60
93;200200032419;йюпдхюяй 50лц. ╧30 рюа. о/н /йюмнмтюплю/;оПНРЕЙ;18.12.2020;2002672;18.12.2020;145449299-002;1;39.22;10%;3.92;43.14
94;200200032780;яхмцскъп 10лц. ╧14 рюа. о/н;оПНРЕЙ;21.12.2020;2002702;21.12.2020;145611894-002;1;1012.52;10%;101.25;1113.77
95;200200032848;мхйнперре 2лц. ╧15X2 (30) феб.пегхмйю лнпнгмюъ лърю;йЮРПЕМ Ц.уХЛЙХ;22.12.2020;2002716;21.12.2020;10757389-30;1;485.17;10%;48.52;533.69
96;200200032861;дфнмянмя ащиах лнкнвйн мефмнярэ укнойю 200лк. [JOHNSON`S];йЮРПЕМ Ц.уХЛЙХ;22.12.2020;2002716;21.12.2020;10757389-30;1;171.03;20%;34.21;205.24
97;200200032866;дфнмянмя ащиах ьюлосмэ-оемйю 300лк. нр люйсьйх дн оър [JOHNSON`S];йЮРПЕМ Ц.уХЛЙХ;22.12.2020;2002716;21.12.2020;10757389-30;1;178.08;20%;35.62;213.70
98;200200032955;мхйнперре 10лц. 16в. ╧7 окюяршпэ рпюмядепл. яюье;цпюмд йюохрюк ялнкемяй ннн тй;22.12.2020;2002724;22.12.2020;20-0-438691;1;868.35;10%;86.83;955.18
99;200200032989;дфнмянмя ащиах йпел дер. о/ондцсгмхй нр нопекнярх 55ц./50лк. [JOHNSON`S];оПНРЕЙ;22.12.2020;2002734;22.12.2020;145712242-002;1;137.70;20%;27.54;165.24
100;200200033135;юкэтю D3-ребю 0,25лйц. ╧30 йюоя. /ребю/;йЮРПЕМ Ц.уХЛЙХ;23.12.2020;2002749;22.12.2020;10793795-30;1;241.87;10%;24.19;266.06
101;200200033867;ледхйю янмхй оскэяюп гса.ыерйю CS-465-M [OMRON CS MEDICA];яХщЯ лЕДХЙЮ йЮКСЦЮ ;25.12.2020;2002817;24.12.2020;16292;1;452.50;20%;90.50;543.00
102;200200033878;нлпнм меаскюигепмюъ йюлепю йхдя NE-я24 [OMRON];яХщЯ лЕДХЙЮ йЮКСЦЮ ;25.12.2020;2002817;24.12.2020;16292;1;529.17;20%;105.83;635.00
103;200200033880;юяйнпахмнбюъ й-рю щйн ╧10 рюа. йпсрйю яюу.;юПЮК ОКЧЯ;26.12.2020;2002819;25.12.2020;8042303;1;3.13;20%;0.63;3.76
104;200200033930;янкцюп дбнимюъ нлецю-3 щой/дцй 700лц. ╧30 йюоя.;йЮРПЕМ Ц.уХЛЙХ;28.12.2020;2002832;27.12.2020;10945319-30;1;886.10;20%;177.22;1063.32
105;200200033931;янкцюп дбнимюъ нлецю-3 щой/дцй 700лц. ╧60 йюоя.;йЮРПЕМ Ц.уХЛЙХ;28.12.2020;2002832;27.12.2020;10945319-30;1;1618.59;20%;323.72;1942.31
106;200200034374;йюонгхд 25лц.+50лц. ╧28 рюа. /юйпхухм/;оПНРЕЙ;29.12.2020;2002858;29.12.2020;146302100-002;1;411.22;10%;41.12;452.34
107;200200035304;всдн уюь цекэ-аюкэгюл д/ясярюбнб я унмдпнхрхмнл 70ц.;"ннн ""юЙЖЕМРЛЕД""";05.01.2021;2000034;05.01.2021;бл0001775;1;75.48;20%;15.10;90.58
108;200200035405;юмбхлюйя ╧24 кхлнм онп. д/п-пю оюй.;цпюмд йюохрюк ялнкемяй ннн тй;06.01.2021;2000046;06.01.2021;21-0-05733;1;508.74;10%;50.87;559.61
109;200200035611;юмцхнбхр ╧60 рюа. о/н /юкрюибхрюлхмш/;йЮРПЕМ Ц.уХЛЙХ;09.01.2021;2000061;06.01.2021;132468-30;1;187.69;10%;18.77;206.46
110;200200035694;люцмекхя щйяопеяя-яонйниярбхе ╧20 рюа.;йЮРПЕМ Ц.уХЛЙХ;09.01.2021;2000061;06.01.2021;132468-30;1;332.65;20%;66.53;399.18
111;200200036217;бхрюрейю люякн цпеиотпсрю 10лк.;оПНРЕЙ;11.01.2021;2000092;11.01.2021;146842682-002;1;43.43;20%;8.69;52.11
112;200200036395;йюплнкхя кедемжш я леднл бхрюлхмнл я лекхяяю+кхлнм деряйхе 75ц.;оПНРЕЙ;12.01.2021;2000109;12.01.2021;146941485-002;1;266.86;20%;53.37;320.23
113;200200036960;щбхяемр+ охбмше дпнффх S яепю ╧60 рюа.;оПНРЕЙ;15.01.2021;2000182;15.01.2021;147221245-001;1;121.37;20%;24.27;145.64
114;200200037410;рпнивюрйю 400лц/420лц. ╧40 йюоя. /щбюкюп/;оПНРЕЙ;18.01.2021;2000214;18.01.2021;147365101-003;1;225.20;20%;45.04;270.24
115;200200037659;кюлхйрюк 100лц. ╧30 рюа.;цпюмд йюохрюк ялнкемяй ннн тй;19.01.2021;2000235;19.01.2021;21-0-31741;1;1696.24;10%;169.62;1865.86
116;200200037918;цкюслюйя 0,005% 2,5лк. цк.йюокх тк.;юБЕЯРЮ ;21.01.2021;2000268;21.01.2021;188767;1;367.49;10%;36.75;404.24
117;200200038116;пеледхю 500лц. ╧10 рюа. о/о/н /яхлоейя тюплю/;йЮРПЕМ Ц.уХЛЙХ;22.01.2021;2000291;22.01.2021;604750-30;1;497.85;10%;49.78;547.63
118;200200038355;кхапхдепл юебхр цекэ д/цса сбкюфм. йксамхйю 20лк. [LIBREDERM];йЮРПЕМ Ц.уХЛЙХ;23.01.2021;2000308;22.01.2021;636373-30;1;106.79;20%;21.36;128.15
119;200200038871;тюплюрейя 72ц. йпел;оПНРЕЙ;26.01.2021;2000350;26.01.2021;147976211-002;1;395.06;10%;39.51;434.57
120;200200039217;цеою-лепж 3ц/5ц. ╧30 цпюм. оюй.;юПЮК ОКЧЯ;28.01.2021;2000395;27.01.2021;8069966;1;2230.36;10%;223.04;2453.40
121;200200039595;реклхярю юл 10+80лц. ╧28 рюа.;йЮРПЕМ Ц.уХЛЙХ;30.01.2021;2000427;29.01.2021;882293-30;1;405.13;10%;40.51;445.64
122;200200039723;янямш онвйх 50ц. /гднпнбэе/;йЮРПЕМ Ц.уХЛЙХ;01.02.2021;2000438;31.01.2021;931708-30;1;106.85;10%;10.69;117.54
123;200200040083;жекеярндепл б я цюпюлхж. 30ц. йпел;оПНРЕЙ;02.02.2021;2000468;02.02.2021;148502906-002;1;489.14;10%;48.91;538.05
124;200200040350;йнпхкхо ╧10 ясоо. пейр.;йЮРПЕМ Ц.уХЛЙХ;04.02.2021;2000507;04.02.2021;1050550-30;1;239.04;10%;23.90;262.94
125;200200040487;кнйпем 20лц. ╧28 рюа. о/о/н;йЮРПЕМ Ц.уХЛЙХ;05.02.2021;2000524;04.02.2021;1090332-30;1;599.45;10%;59.95;659.40
126;200200040551;кнйпем 20лц. ╧56 рюа. о/о/н;оПНРЕЙ;05.02.2021;2000529;05.02.2021;148787372-003;1;856.61;10%;85.66;942.27
127;200200040614;гхкр 75лц. ╧84 рюа. о/о/н /KRKA/;оСКЭЯ ;06.02.2021;2000536;05.02.2021;апм00087929;1;1895.52;10%;189.55;2085.07
